iter	Passed	Remaining
430	1777	2347
431	1781	2341
432	1784	2336
433	1787	2331
434	1790	2326
435	1793	2320
436	1796	2315
437	1800	2309
438	1803	2304
439	1806	2299
440	1809	2293
441	1812	2288
442	1816	2283
443	1819	2277
444	1822	2272
445	1825	2267
446	1829	2262
447	1832	2258
448	1835	2252
449	1839	2247
450	1843	2243
451	1846	2238
452	1849	2233
453	1853	2229
454	1856	2224
455	1860	2219
456	1863	2214
457	1866	2208
458	1869	2203
459	1873	2198
460	1876	2193
461	1879	2188
462	1882	2183
463	1886	2178
464	1889	2173
465	1892	2168
466	1896	2163
467	1899	2159
468	1902	2154
469	1905	2148
470	1908	2143
471	1911	2138
472	1914	2133
473	1918	2128
474	1921	2123
475	1924	2118
476	1927	2113
477	1930	2108
478	1933	2103
479	1937	2098
480	1940	2093
481	1943	2088
482	1947	2084
483	1950	2079
484	1953	2073
485	1956	2068
486	1959	2064
487	1962	2059
488	1965	2054
489	1968	2049
490	1971	2044
491	1974	2039
492	1978	2034
493	1980	2029
494	1983	2024
495	1987	2019
496	1990	2014
497	1993	2009
498	1996	2004
499	1999	1999
500	2003	1995
501	2006	1990
502	2009	1985
503	2013	1981
504	2016	1976
505	2019	1971
506	2022	1966
507	2026	1962
508	2031	1959
509	2042	1962
510	2047	1958
511	2051	1955
512	2055	1951
513	2060	1948
514	2065	1944
515	2069	1940
516	2073	1937
517	2077	1933
518	2081	1929
519	2087	1926
520	2091	1922
521	2094	1918
522	2098	1913
523	2101	1908
524	2104	1903
525	2108	1899
526	2112	1895
527	2115	1890
528	2118	1886
529	2121	1881
530	2124	1876
531	2127	1871
532	2130	1867
533	2134	1862
534	2137	1857
535	2140	1853
536	2143	1848
537	2146	1843
538	2150	1838
539	2153	1834
540	2156	1829
541	2159	1824
542	2162	1820
543	2165	1815
544	2168	1810
545	2171	1805
546	2174	1801
547	2178	1796
548	2181	1791
549	2184	1787
550	2189	1783
551	2192	1779
552	2195	1774
553	2198	1770
554	2201	1765
555	2204	1760
556	2207	1756
557	2211	1751
558	2214	1746
559	2217	1742
560	2220	1737
561	2223	1732
562	2226	1728
563	2229	1723
564	2233	1719
565	2236	1714
566	2239	1710
567	2242	1705
568	2245	1700
569	2248	1696
570	2251	1691
571	2254	1687
572	2258	1682
573	2261	1678
574	2264	1673
575	2267	1669
576	2270	1664
577	2273	1659
578	2276	1655
579	2280	1651
580	2285	1648
581	2289	1644
582	2293	1640
583	2298	1637
584	2302	1633
585	2308	1630
586	2312	1626
587	2316	1623
588	2320	1619
589	2325	1616
590	2328	1611
591	2331	1607
592	2335	1602
593	2338	1598
594	2341	1594
595	2345	1589
596	2348	1585
597	2352	1581
598	2355	1576
599	2358	1572
600	2361	1567
601	2364	1563
602	2367	1558
603	2370	1554
604	2373	1549
605	2377	1545
606	2380	1541
607	2384	1537
608	2387	1533
609	2390	1528
610	2393	1524
611	2397	1519
612	2400	1515
613	2403	1510
614	2406	1506
615	2409	1502
616	2412	1497
617	2416	1493
618	2419	1489
619	2422	1484
620	2425	1480
621	2428	1475
622	2431	1471
623	2434	1467
624	2438	1462
625	2441	1458
626	2444	1454
627	2447	1449
628	2450	1445
629	2453	1441
630	2456	1436
631	2460	1432
632	2463	1428
633	2466	1423
634	2469	1419
635	2472	1414
636	2475	1410
637	2478	1406
638	2481	1401
639	2484	1397
640	2487	1393
641	2490	1388
642	2493	1384
643	2496	1380
644	2499	1375
645	2502	1371
646	2506	1367
647	2509	1363
648	2512	1358
649	2515	1354
650	2518	1350
651	2521	1346
652	2525	1341
653	2528	1337
654	2531	1333
655	2534	1329
656	2537	1324
657	2540	1320
658	2543	1316
659	2547	1312
660	2550	1307
661	2553	1303
662	2556	1299
663	2559	1295
664	2562	1290
665	2565	1286
666	2568	1282
667	2571	1278
668	2574	1274
669	2577	1269
670	2581	1265
671	2584	1261
672	2587	1257
673	2590	1252
674	2593	1248
675	2596	1244
676	2599	1240
677	2601	1235
678	2604	1231
679	2607	1227
680	2610	1222
681	2613	1218
682	2616	1214
683	2619	1210
684	2623	1206
685	2626	1202
686	2629	1197
687	2632	1193
688	2635	1189
689	2638	1185
690	2641	1181
691	2644	1177
692	2648	1173
693	2650	1168
694	2654	1164
695	2657	1160
696	2660	1156
697	2663	1152
698	2666	1148
699	2669	1144
700	2672	1139
701	2675	1135
702	2678	1131
703	2682	1127
704	2685	1123
705	2688	1119
706	2691	1115
707	2694	1111
708	2698	1107
709	2701	1103
710	2704	1099
711	2707	1095
712	2710	1091
713	2714	1087
714	2717	1083
715	2720	1079
716	2723	1075
717	2726	1071
718	2730	1067
719	2733	1062
720	2736	1058
721	2741	1055
722	2745	1052
723	2750	1048
724	2754	1044
725	2759	1041
726	2763	1037
727	2766	1033
728	2771	1030
729	2775	1026
730	2779	1022
731	2783	1019
732	2788	1015
733	2791	1011
734	2795	1008
735	2800	1004
736	2805	1001
737	2809	997
738	2815	994
739	2821	991
740	2826	988
741	2832	984
742	2836	981
743	2842	978
744	2848	975
745	2853	971
746	2857	967
747	2862	964
748	2865	960
749	2870	956
750	2874	952
751	2878	949
752	2882	945
753	2886	941
754	2890	937
755	2894	934
756	2897	930
757	2902	926
758	2905	922
759	2910	919
760	2914	915
761	2918	911
762	2922	907
763	2926	904
764	2930	900
765	2935	896
766	2938	892
767	2943	889
768	2946	885
769	2951	881
770	2954	877
771	2959	874
772	2962	869
773	2967	866
774	2970	862
775	2975	858
776	2978	854
777	2983	851
778	2986	847
779	2991	843
780	2994	839
781	2999	836
782	3002	832
783	3006	828
784	3010	824
785	3015	821
786	3018	817
787	3023	813
788	3026	809
789	3031	805
790	3034	801
791	3039	798
792	3043	794
793	3047	790
794	3051	786
795	3055	783
796	3058	779
797	3063	775
798	3066	771
799	3071	767
800	3075	764
801	3079	760
802	3083	756
803	3087	752
804	3091	748
805	3095	745
806	3099	741
807	3103	737
808	3107	733
809	3112	730
810	3115	726
811	3119	722
812	3122	718
813	3127	714
814	3130	710
815	3135	706
816	3139	703
817	3143	699
818	3147	695
819	3152	691
820	3155	687
821	3160	684
822	3163	680
823	3167	676
824	3171	672
825	3177	669
826	3180	665
827	3185	661
828	3191	658
829	3195	654
830	3199	650
831	3202	646
832	3207	642
833	3214	639
834	3219	636
835	3226	632
836	3229	629
837	3234	625
838	3240	621
839	3244	617
840	3248	614
841	3253	610
842	3257	606
843	3260	602
844	3265	598
845	3269	595
846	3272	591
847	3275	587
848	3278	583
849	3282	579
850	3285	575
851	3289	571
852	3292	567
853	3295	563
854	3298	559
855	3301	555
856	3304	551
857	3308	547
858	3311	543
859	3314	539
860	3317	535
861	3321	531
862	3324	527
863	3327	523
864	3330	519
865	3333	515
866	3337	512
867	3342	508
868	3346	504
869	3349	500
870	3353	496
871	3356	492
872	3360	488
873	3364	484
874	3367	481
875	3370	477
876	3373	473
877	3376	469
878	3379	465
879	3383	461
880	3386	457
881	3389	453
882	3393	449
883	3396	445
884	3400	441
885	3404	437
886	3408	434
887	3412	430
888	3417	426
889	3420	422
890	3424	418
891	3428	415
892	3432	411
893	3435	407
894	3440	403
895	3444	399
896	3448	395
897	3452	392
898	3457	388
899	3462	384
900	3466	380
901	3471	377
902	3477	373
903	3482	369
904	3488	366
905	3493	362
906	3498	358
907	3503	354
908	3507	351
909	3511	347
910	3515	343
911	3518	339
912	3523	335
913	3526	331
914	3530	328
915	3534	324
916	3539	320
917	3542	316
918	3547	312
919	3550	308
920	3555	304
921	3558	301
922	3563	297
923	3566	293
924	3570	289
925	3574	285
926	3579	281
927	3582	277
928	3587	274
929	3590	270
930	3595	266
931	3598	262
932	3602	258
933	3606	254
934	3611	251
935	3614	247
936	3618	243
937	3621	239
938	3626	235
939	3629	231
940	3633	227
941	3637	223
942	3642	220
943	3645	216
944	3649	212
945	3652	208
946	3655	204
947	3660	200
948	3663	196
949	3668	193
950	3671	189
951	3674	185
952	3677	181
953	3681	177
954	3685	173
955	3689	169
956	3692	165
957	3695	162
958	3700	158
959	3703	154
960	3707	150
961	3710	146
962	3715	142
963	3718	138
964	3721	134
965	3725	131
966	3728	127
967	3733	123
968	3737	119
969	3741	115
970	3744	111
971	3747	107
972	3750	104
973	3755	100
974	3758	96
975	3763	92
976	3769	88
977	3773	84
978	3778	81
979	3782	77
980	3787	73
981	3791	69
982	3796	65
983	3801	61
984	3805	57
985	3810	54
986	3814	50
987	3819	46
988	3823	42
989	3828	38
990	3833	34
991	3838	30
992	3843	27
993	3847	23
994	3853	19
995	3857	15
996	3862	11
997	3866	7
998	3871	3
999	3875	0
