iter	Passed	Remaining
417	3060	4261
418	3066	4251
419	3070	4240
420	3077	4232
421	3083	4223
422	3090	4216
423	3096	4206
424	3102	4197
425	3107	4186
426	3113	4177
427	3117	4166
428	3121	4155
429	3126	4144
430	3130	4132
431	3134	4121
432	3139	4110
433	3143	4099
434	3148	4089
435	3153	4079
436	3157	4068
437	3162	4057
438	3166	4046
439	3170	4035
440	3181	4033
441	3186	4022
442	3192	4014
443	3198	4005
444	3203	3995
445	3208	3985
446	3212	3974
447	3217	3963
448	3221	3952
449	3225	3942
450	3229	3931
451	3234	3921
452	3239	3912
453	3245	3903
454	3251	3894
455	3255	3883
456	3259	3872
457	3263	3862
458	3267	3851
459	3272	3841
460	3277	3831
461	3282	3822
462	3286	3811
463	3290	3801
464	3296	3793
465	3302	3783
466	3306	3773
467	3311	3763
468	3315	3753
469	3319	3743
470	3324	3733
471	3328	3723
472	3333	3714
473	3339	3705
474	3347	3699
475	3354	3692
476	3360	3684
477	3366	3676
478	3370	3666
479	3377	3658
480	3382	3649
481	3390	3643
482	3397	3636
483	3402	3627
484	3410	3621
485	3418	3615
486	3424	3607
487	3430	3599
488	3436	3590
489	3441	3581
490	3448	3574
491	3454	3566
492	3461	3559
493	3467	3552
494	3473	3543
495	3480	3537
496	3488	3530
497	3496	3524
498	3504	3518
499	3512	3512
500	3521	3507
501	3528	3500
502	3538	3496
503	3549	3492
504	3560	3489
505	3570	3486
506	3580	3481
507	3589	3476
508	3597	3470
509	3605	3463
510	3615	3460
511	3624	3454
512	3635	3450
513	3645	3446
514	3653	3440
515	3659	3432
516	3664	3423
517	3672	3416
518	3683	3413
519	3692	3408
520	3701	3403
521	3710	3397
522	3718	3391
523	3726	3384
524	3734	3378
525	3743	3373
526	3750	3366
527	3757	3358
528	3771	3358
529	3786	3357
530	3794	3351
531	3801	3344
532	3811	3339
533	3819	3333
534	3826	3326
535	3834	3319
536	3849	3319
537	3859	3314
538	3877	3316
539	3893	3316
540	3908	3316
541	3918	3311
542	3950	3324
543	3960	3320
544	3971	3315
545	3976	3306
546	3984	3299
547	3992	3292
548	4000	3286
549	4007	3279
550	4012	3269
551	4021	3264
552	4027	3255
553	4036	3249
554	4043	3241
555	4050	3234
556	4061	3230
557	4079	3231
558	4087	3225
559	4097	3219
560	4105	3212
561	4112	3205
562	4122	3200
563	4131	3193
564	4139	3187
565	4151	3183
566	4162	3178
567	4171	3172
568	4201	3182
569	4210	3175
570	4220	3170
571	4229	3164
572	4238	3158
573	4267	3166
574	4291	3171
575	4314	3176
576	4327	3172
577	4335	3165
578	4349	3162
579	4361	3158
580	4387	3164
581	4398	3158
582	4409	3153
583	4414	3144
584	4419	3134
585	4423	3125
586	4427	3115
587	4431	3105
588	4440	3098
589	4448	3091
590	4456	3084
591	4463	3076
592	4472	3069
593	4480	3062
594	4488	3054
595	4502	3052
596	4511	3045
597	4519	3038
598	4524	3028
599	4531	3020
600	4541	3014
601	4545	3005
602	4553	2998
603	4586	3007
604	4635	3026
605	4642	3018
606	4649	3010
607	4662	3006
608	4671	2998
609	4677	2990
610	4681	2980
611	4686	2971
612	4691	2961
613	4695	2951
614	4699	2942
615	4704	2932
616	4708	2922
617	4714	2914
618	4721	2906
619	4728	2898
620	4733	2888
621	4739	2880
622	4744	2871
623	4750	2862
624	4754	2852
625	4759	2843
626	4763	2833
627	4768	2824
