iter	Passed	Remaining
0	58	58075
1	59	29655
2	60	20075
3	61	15300
4	62	12376
5	62	10426
6	63	9035
7	64	7987
8	65	7168
9	66	6580
10	67	6039
11	67	5579
12	68	5190
13	68	4856
14	69	4567
15	70	4314
16	70	4091
17	71	3893
18	71	3715
19	72	3555
20	73	3411
21	73	3270
22	74	3149
23	74	3041
24	75	2939
25	75	2843
26	76	2755
27	77	2679
28	77	2602
29	78	2539
30	79	2472
31	79	2409
32	80	2350
33	80	2295
34	81	2245
35	81	2195
36	82	2148
37	83	2102
38	83	2059
39	84	2018
40	84	1980
41	85	1945
42	85	1913
43	86	1879
44	87	1847
45	87	1817
46	88	1787
47	88	1759
48	89	1734
49	89	1708
50	90	1683
51	91	1659
52	91	1635
53	92	1613
54	92	1591
55	93	1571
56	93	1550
57	94	1531
58	94	1511
59	95	1491
60	95	1473
61	96	1456
62	96	1439
63	97	1423
64	97	1407
65	98	1392
66	98	1377
67	99	1362
68	99	1348
69	100	1334
70	100	1321
71	101	1308
72	102	1295
73	102	1283
74	103	1271
75	103	1259
76	104	1248
77	104	1237
78	105	1226
79	105	1216
80	106	1206
81	106	1195
82	107	1186
83	107	1177
84	108	1167
85	109	1158
86	109	1147
87	109	1139
88	110	1130
89	110	1121
90	111	1112
91	111	1104
92	112	1096
93	112	1089
94	113	1081
95	113	1072
96	114	1065
97	114	1058
98	115	1051
99	116	1044
100	116	1038
101	117	1031
102	117	1024
103	118	1018
104	118	1011
105	119	1005
106	119	999
107	120	993
108	120	985
109	121	979
110	121	973
111	122	968
112	122	962
113	123	957
114	123	952
115	124	945
116	124	940
117	125	935
118	125	930
119	126	925
120	126	921
121	127	916
122	127	910
123	128	906
124	128	902
125	129	897
126	129	893
127	130	889
128	131	885
129	131	881
130	132	876
131	132	873
132	133	869
133	133	865
134	134	861
135	134	857
136	135	853
137	136	849
138	136	846
139	137	842
140	137	838
141	138	835
142	138	831
143	139	827
144	139	824
145	140	821
146	140	817
147	141	814
148	141	810
149	142	807
150	143	804
151	143	801
152	144	798
153	144	795
154	145	791
155	145	788
156	146	784
157	146	782
158	147	779
159	147	775
160	148	772
161	148	769
162	149	766
163	149	764
164	150	761
165	151	758
166	151	756
167	152	753
168	152	750
169	153	747
170	153	745
171	154	742
172	154	739
173	155	737
174	155	734
175	156	732
176	156	729
177	157	726
178	157	723
179	158	721
180	158	718
181	159	716
182	159	713
183	160	711
184	160	709
185	161	706
186	161	704
187	162	701
188	163	700
189	163	698
190	164	695
191	164	693
192	165	691
193	165	689
194	166	687
195	166	684
196	167	682
197	168	680
198	168	678
199	169	676
200	169	674
201	170	672
202	170	670
203	171	668
204	171	666
205	172	664
206	172	661
207	173	659
208	173	657
209	174	655
210	174	653
211	175	652
212	176	650
213	176	648
214	177	646
215	177	644
216	178	642
217	178	641
218	179	639
219	179	637
220	180	635
221	180	633
222	181	631
223	181	630
224	182	627
225	182	625
226	183	623
227	183	622
228	184	620
229	184	618
230	185	617
231	186	616
232	186	614
233	187	613
234	188	613
235	188	611
236	189	610
237	190	608
238	190	606
239	191	605
240	191	603
241	192	602
242	192	600
243	193	599
244	193	597
245	194	595
246	194	593
247	195	591
248	195	590
249	196	588
250	196	586
251	197	585
252	197	583
253	198	582
254	198	580
255	199	579
256	199	578
257	200	576
258	201	575
259	201	573
260	202	572
261	202	570
262	203	569
263	203	568
264	204	566
265	204	565
266	205	563
267	205	562
268	206	560
269	206	559
270	207	558
271	208	556
272	208	555
273	209	553
274	209	552
275	210	551
276	210	549
277	211	548
278	211	546
279	212	545
280	212	544
281	213	543
282	213	541
283	214	540
284	214	539
285	215	537
286	216	536
287	216	535
288	217	534
289	217	533
290	218	531
291	218	530
292	219	529
293	220	528
294	220	527
295	221	526
296	221	524
297	222	523
298	222	521
299	222	520
300	223	518
301	223	517
302	224	516
303	225	515
304	225	514
305	226	512
306	226	511
307	227	510
308	227	509
309	228	508
310	228	507
311	229	506
312	230	504
313	230	503
314	231	502
315	231	501
316	232	500
317	232	499
318	233	497
319	233	496
320	234	495
321	234	494
322	235	493
323	235	492
324	236	491
325	237	490
326	237	489
327	238	488
328	238	486
329	239	485
330	239	484
331	240	483
332	241	482
333	241	481
334	242	480
335	242	479
336	243	478
337	243	477
338	244	476
339	244	474
340	245	473
341	245	472
342	246	471
343	246	470
344	247	469
345	247	468
346	248	467
347	248	466
348	249	465
349	249	464
350	250	463
351	251	462
352	251	461
353	252	459
354	252	458
355	253	457
356	253	456
357	254	455
358	254	454
359	255	454
360	255	453
361	256	451
362	256	450
363	257	449
364	257	448
365	258	447
366	258	446
367	259	445
368	259	444
369	260	443
370	261	442
371	261	441
372	262	440
373	262	439
374	263	439
375	263	438
376	264	437
377	265	436
378	265	434
379	265	433
380	266	432
381	267	432
382	267	431
383	268	430
384	268	429
385	269	428
386	269	427
387	270	426
388	271	425
389	271	424
390	272	423
391	272	422
392	273	421
393	273	420
394	274	420
395	274	419
396	275	418
397	275	417
398	276	416
399	276	415
400	277	414
401	278	413
402	278	412
403	279	411
404	279	410
405	280	410
406	280	409
407	281	408
408	281	407
409	282	406
410	282	405
411	283	404
412	284	403
413	284	402
414	285	402
415	285	401
416	286	400
417	286	399
418	287	398
419	288	397
420	288	396
421	289	395
422	289	395
423	290	394
424	290	393
425	291	392
426	291	391
427	292	390
428	292	389
429	293	388
430	293	388
431	294	387
432	295	386
433	295	385
434	296	384
435	296	383
436	297	382
437	297	381
438	298	381
439	298	380
440	299	379
441	299	378
442	300	377
443	300	376
444	301	375
445	302	375
446	302	374
447	303	373
448	303	372
449	304	371
450	304	370
451	305	369
452	305	369
453	306	368
454	306	367
455	307	366
456	307	365
457	308	364
458	308	364
459	309	363
460	310	362
461	310	361
462	311	360
463	311	360
464	312	359
465	312	358
466	313	357
467	313	356
468	314	355
469	314	355
470	315	354
471	315	353
472	316	352
473	317	351
474	317	350
475	317	349
476	318	349
477	318	348
478	319	347
479	319	346
480	320	345
481	321	345
482	321	344
483	322	343
484	322	342
485	323	341
486	323	341
487	324	340
488	324	339
489	325	338
490	325	337
491	326	337
492	327	336
493	327	335
494	328	334
495	328	333
496	329	333
497	329	332
498	330	331
499	330	330
500	331	330
501	331	329
502	332	328
503	332	327
504	333	326
505	334	326
506	334	325
507	334	324
508	335	323
509	336	322
510	336	322
511	337	321
512	337	320
513	338	319
514	338	319
515	339	318
516	339	317
517	340	316
518	341	316
519	341	315
520	342	314
521	342	313
522	343	312
523	343	312
524	344	311
525	344	310
526	345	309
527	345	309
528	346	308
529	346	307
