iter	Logloss
0	0.6886576304
1	0.6844691936
2	0.6807229241
3	0.6761641519
4	0.6729018802
5	0.6694037439
6	0.6657553457
7	0.6620286175
8	0.6584144243
9	0.6554718008
10	0.6513216133
11	0.6484994853
12	0.6446549225
13	0.6408759341
14	0.6370821995
15	0.6332575704
16	0.6295295948
17	0.6266625509
18	0.6232527158
19	0.6194834437
20	0.615984551
21	0.6133113922
22	0.610287707
23	0.6065156203
24	0.6031421697
25	0.5999875296
26	0.5960757386
27	0.5924231168
28	0.5893870242
29	0.5858028033
30	0.582546466
31	0.5788219262
32	0.5758016342
33	0.5731900635
34	0.5698301274
35	0.5670443166
36	0.5639819798
37	0.5610564795
38	0.5580042701
39	0.5545391385
40	0.5511092118
41	0.5485228997
42	0.5453228401
43	0.5423508734
44	0.5401399291
45	0.5382871585
46	0.5362878321
47	0.5337272252
48	0.5307990157
49	0.528805943
50	0.5256577752
51	0.5225737573
52	0.5201197895
53	0.5171153808
54	0.5143295102
55	0.5122708949
56	0.5096583125
57	0.5075728225
58	0.5052088086
59	0.5032225584
60	0.5007710422
61	0.4980787028
62	0.4959875289
63	0.4935468094
64	0.4912092006
65	0.4886292936
66	0.4870448112
67	0.4847725385
68	0.4824537678
69	0.4807357044
70	0.478691165
71	0.4766338645
72	0.4745784112
73	0.4725181238
74	0.470597145
75	0.4681680619
76	0.4666386247
77	0.4647795284
78	0.4627856733
79	0.460922413
80	0.4597736363
81	0.4579939708
82	0.4568159041
83	0.4553228171
84	0.4530245007
85	0.4514081811
86	0.4504683042
87	0.4486588736
88	0.4473978767
89	0.4457763433
90	0.4438922891
91	0.4420443164
92	0.4402367897
93	0.4384517686
94	0.4368262127
95	0.4360523243
96	0.4344208012
97	0.4326741529
98	0.4310237862
99	0.4294731496
100	0.4278235787
101	0.4261448569
102	0.4246819981
103	0.4228991015
104	0.4213860972
105	0.4199840448
106	0.4180058866
107	0.4170274743
108	0.416616646
109	0.4151494734
110	0.4138902235
111	0.4122538873
112	0.4109060995
113	0.4093226538
114	0.4083053658
115	0.4076886059
116	0.4065567958
117	0.4052465757
118	0.4038228828
119	0.4024372375
120	0.4010101406
121	0.3999917137
122	0.398581064
123	0.3974724348
124	0.3960359859
125	0.3943503032
126	0.3926525669
127	0.3914137563
128	0.3901390863
129	0.3885017639
130	0.3876156232
131	0.386259457
132	0.3851996666
133	0.3839378271
134	0.3828080866
135	0.3812685867
136	0.3798046751
137	0.37864123
138	0.3774038489
139	0.3764593322
140	0.3755043208
141	0.3741859901
142	0.3729639639
143	0.3715017212
144	0.370250914
145	0.3694090145
146	0.3681245666
147	0.3669829417
148	0.365504827
149	0.3646875819
150	0.3634275842
151	0.3623122804
152	0.3612707773
153	0.3600358528
154	0.3592961699
155	0.3584298991
156	0.3578724475
157	0.356896692
158	0.3560654988
159	0.3558150127
160	0.3547301368
161	0.3535120847
162	0.3525852384
163	0.351516605
164	0.3506014728
165	0.3492556118
166	0.3482842354
167	0.3470499564
168	0.3461576502
169	0.3453236324
170	0.3441444378
171	0.3433363948
172	0.342482453
173	0.3415582669
174	0.340630745
175	0.3396156854
176	0.3388643845
177	0.3378716122
178	0.337316687
179	0.3363602929
180	0.335238047
181	0.3341048317
182	0.3334052455
183	0.3324067523
184	0.3319858221
185	0.3311751705
186	0.3303317503
187	0.3293456113
188	0.3288282231
189	0.3279200669
190	0.3270906419
191	0.3261429233
192	0.3253741506
193	0.3246545867
194	0.3238408866
195	0.3235196326
196	0.3230470081
197	0.3220494626
198	0.3212903872
199	0.3206300693
200	0.3199919054
201	0.319332568
202	0.3186446643
203	0.3178403764
204	0.3167636341
205	0.3160665545
206	0.3158170672
207	0.3150663129
208	0.314165008
209	0.313325251
210	0.3127497274
211	0.3120035379
212	0.3110213366
213	0.310627591
214	0.3097359033
215	0.3090985256
216	0.3085654308
217	0.3079499248
218	0.3073744232
219	0.3067592044
220	0.3061203312
221	0.3057788745
222	0.3053156019
223	0.3044227405
224	0.3042253567
225	0.3035134464
226	0.3027865452
227	0.3018530865
228	0.3012374049
229	0.300409535
230	0.2996614887
231	0.2989421959
232	0.2980821594
233	0.2975539474
234	0.2969360405
235	0.2960137628
236	0.2952808029
237	0.2946632413
238	0.2941047635
239	0.2936384501
240	0.2928094429
241	0.2921750755
242	0.291552397
243	0.2908715611
244	0.2903596168
245	0.2900043721
246	0.2891913706
247	0.2888720079
248	0.288379194
249	0.28760129
250	0.2867150505
251	0.2859474002
252	0.2855634104
253	0.2850790072
254	0.2844383217
255	0.2839361719
256	0.2832687234
257	0.2827664286
258	0.2821040406
259	0.2816819769
260	0.2810619388
261	0.280375703
262	0.2797269773
263	0.2790874404
264	0.2784176055
265	0.2779970738
266	0.2774234543
267	0.277007902
268	0.2763317469
269	0.2756498456
270	0.2749228
271	0.2742954997
272	0.273680731
273	0.273022562
274	0.2724562706
275	0.27193139
276	0.2716985501
277	0.2710967837
278	0.2705295166
279	0.2698035047
280	0.2693492491
281	0.2686003361
282	0.268010866
283	0.2672792743
284	0.2665907134
285	0.2658079949
286	0.2653278633
287	0.2647601925
288	0.2643726189
289	0.2637093599
290	0.263285878
291	0.2628471792
292	0.2621472268
293	0.2617357019
294	0.2612554732
295	0.2609482408
296	0.2605555927
297	0.2603596717
298	0.260114237
299	0.260024329
300	0.2595680039
301	0.2591833639
302	0.2587298262
303	0.2581678871
304	0.2575155357
305	0.2569066818
306	0.2562852105
307	0.255825032
308	0.2552163945
309	0.2546662602
310	0.2539067569
311	0.2532905061
312	0.2527099322
313	0.2522384497
314	0.2518871518
315	0.2515050635
316	0.2507803376
317	0.2503290901
318	0.2499486025
319	0.249489273
320	0.2490980018
321	0.2488022146
322	0.2483701915
323	0.2479814812
324	0.2474519358
325	0.2468742073
326	0.2465043106
327	0.2462160909
328	0.245899717
329	0.2455843193
330	0.2453512909
331	0.24506632
332	0.2446484899
333	0.2443990321
334	0.2440480944
335	0.2436769648
336	0.2434219841
337	0.2429272806
338	0.2425381069
339	0.242509313
340	0.242207067
341	0.2416562277
342	0.2412234475
343	0.2406253004
344	0.240278883
345	0.2398953223
346	0.2394889717
347	0.2392320864
348	0.2386466286
349	0.2382305334
350	0.2379739639
351	0.2377584856
352	0.2373143021
353	0.2369738484
354	0.2366138648
355	0.2362497191
356	0.2360262162
357	0.2356952005
358	0.2353603061
359	0.2347608257
360	0.23431531
361	0.2339358528
362	0.2334980041
363	0.2333737306
364	0.2329324339
365	0.2324506764
366	0.2320538904
367	0.2315917493
368	0.2313853749
369	0.2310411017
370	0.2306889897
371	0.2302892106
372	0.2298030751
373	0.2294737788
374	0.2291222693
375	0.2288048246
376	0.2285256413
377	0.2281445603
378	0.2281197009
379	0.2278396063
380	0.2273879696
381	0.2269176943
382	0.2264388671
383	0.2261536519
384	0.2257960482
385	0.2253244906
386	0.2248688061
387	0.2244916182
388	0.2239541283
389	0.2235702051
390	0.2231245524
391	0.2227408666
392	0.2223618363
393	0.2218219047
394	0.2213523007
395	0.2211411504
396	0.2209434896
397	0.2205896415
398	0.2202724863
399	0.2198653565
400	0.2196528493
401	0.219382685
402	0.219117722
403	0.2187407634
404	0.2184892893
405	0.2180628164
406	0.2176219966
407	0.2172936636
408	0.2169106356
409	0.2166629165
410	0.2163925294
411	0.2160947076
412	0.2159129462
413	0.2154612713
414	0.2150933361
415	0.2149592606
416	0.2147040442
417	0.2142798321
418	0.213920466
419	0.2136005432
420	0.2133232205
421	0.2131234585
422	0.2127900274
423	0.2124033635
424	0.2121356661
425	0.2119438482
426	0.2117346622
427	0.2114334219
428	0.2111816336
429	0.2109680342
430	0.2106715451
431	0.2102393309
432	0.2098766866
433	0.2095916078
434	0.2091992417
435	0.2087133001
436	0.2085463249
437	0.2083255933
438	0.2079166383
439	0.2077798097
440	0.2076089511
441	0.2073018556
442	0.2069905126
443	0.2067432436
444	0.2064727835
445	0.2061760318
446	0.2057319616
447	0.2052662335
448	0.2050052264
449	0.20466779
450	0.204440119
451	0.2042997066
452	0.2040342017
453	0.2036164666
454	0.2032404268
455	0.2030345953
456	0.202457218
457	0.2021820293
458	0.2018649293
459	0.2015635699
460	0.2012680946
461	0.201058224
462	0.2007821208
463	0.2006021453
464	0.2004186334
465	0.2000615978
466	0.199890061
467	0.1996980304
468	0.1994536047
469	0.1991632221
470	0.198866087
471	0.1986132581
472	0.1983736571
473	0.1979254141
474	0.197549342
475	0.1975103756
476	0.1973215922
477	0.1970893445
478	0.1968350545
479	0.1966685921
480	0.1964266354
481	0.1960761901
482	0.1959007275
483	0.1956597497
484	0.195297057
485	0.1949354775
486	0.1946760507
487	0.1943380349
488	0.1940682992
489	0.1937068889
490	0.1935356931
491	0.1933884954
492	0.1931360283
493	0.1928498847
494	0.192608168
495	0.1924361098
496	0.1921872013
497	0.1919605174
498	0.1916758971
499	0.1914382061
500	0.1911875965
501	0.1909582663
502	0.1907269606
503	0.1905599108
504	0.1903954513
505	0.1901031829
506	0.1897733362
507	0.1897125454
508	0.1893524125
509	0.1891283613
510	0.1890037011
511	0.1887812818
512	0.1884139357
513	0.1882515136
514	0.1878927022
515	0.1875652671
516	0.1872200386
517	0.1870352626
518	0.1867571811
519	0.1865789036
520	0.1863440393
521	0.1860788303
522	0.1857767991
523	0.1856057977
524	0.1853401876
525	0.1850646434
526	0.1848320376
527	0.1845104029
528	0.1841764359
529	0.1839509279
530	0.1835831619
531	0.1832828414
532	0.1830441818
533	0.1827474247
534	0.1825582272
535	0.1823238661
536	0.1820755064
537	0.1818783799
538	0.1815789482
539	0.1814085288
540	0.181219792
541	0.1809180835
542	0.180597853
543	0.1804040708
544	0.1802203843
545	0.1801767473
546	0.1797974765
547	0.1794652268
548	0.1790815656
549	0.1787646859
550	0.178534657
551	0.1782661902
552	0.1780788909
553	0.1780294534
554	0.1778096739
555	0.1775174345
556	0.177423852
557	0.177097175
558	0.176994465
559	0.1767355655
560	0.1765109301
561	0.1762253932
562	0.1760072665
563	0.1757121924
564	0.1755297597
565	0.1752872768
566	0.1750591204
567	0.1748908592
568	0.1746368736
569	0.1743061296
570	0.1740457851
571	0.1738140551
572	0.1736464517
573	0.1733752333
574	0.1731383784
575	0.1728872721
576	0.1725964374
577	0.1723185987
578	0.1721520408
579	0.171885869
580	0.1716451623
581	0.1714938895
582	0.1712828499
583	0.1710922154
584	0.1708930001
585	0.1707020654
586	0.1704767325
587	0.1702327508
588	0.1699429761
589	0.1697105894
590	0.1695199083
591	0.1693647257
592	0.1691336116
593	0.1689370532
594	0.1687898002
595	0.1685339057
596	0.1683712806
597	0.1683224112
598	0.168141096
599	0.1679921537
600	0.167745319
601	0.1675935334
602	0.1674057095
603	0.1671287015
604	0.1669738368
605	0.1667169622
606	0.1664431739
607	0.1662274164
608	0.1659603328
609	0.1657087048
610	0.1655137507
611	0.1653084779
612	0.1651678526
613	0.1649829345
614	0.1647113403
615	0.1645482523
616	0.1642276234
617	0.1640790663
618	0.1638159153
619	0.1635694506
620	0.1633135314
621	0.1631369051
622	0.1628439663
623	0.1626894525
624	0.1625111831
625	0.1623233868
626	0.1622002404
627	0.1619986822
628	0.1617361329
629	0.1615907698
630	0.1613531097
631	0.1611532709
632	0.1610317281
633	0.160868743
634	0.160637877
635	0.1604947289
636	0.1603306621
637	0.160189467
638	0.1601083542
639	0.159949964
640	0.1596472577
641	0.1594766754
642	0.1593176459
643	0.1592761053
644	0.1591782761
645	0.1589917895
646	0.1587573891
647	0.1585574145
648	0.1583748071
649	0.15818803
650	0.1580211754
651	0.1578333899
652	0.1576000984
653	0.1574321011
654	0.1573179837
655	0.1570911555
656	0.1570057958
657	0.15696669
658	0.1567205867
659	0.1564388858
660	0.1562679257
661	0.1561744911
662	0.1559378247
663	0.1557928906
664	0.1557207167
665	0.1556490598
666	0.1554693333
667	0.1552163612
668	0.1550270378
669	0.1548120503
670	0.1545648255
671	0.1543428611
672	0.1541503187
673	0.1540034244
674	0.1538812161
675	0.1537688154
676	0.1535526635
677	0.1534171961
678	0.1531404249
679	0.1530756395
680	0.1528020007
681	0.1527312873
682	0.1525181929
683	0.1524047572
684	0.152164082
685	0.1519477859
686	0.1517332137
687	0.1514920227
688	0.1512076345
689	0.1510903024
690	0.1509307921
691	0.1508285728
692	0.1505877741
693	0.1504345117
694	0.1503238436
695	0.1501334779
696	0.1498208723
697	0.1496908061
698	0.1495117524
699	0.1494697596
700	0.1492568155
701	0.1489956545
702	0.1487651459
703	0.148426525
704	0.1482147268
705	0.1479724509
706	0.1478767049
707	0.1476924873
708	0.1475771862
709	0.1473283048
710	0.1471226108
711	0.1470283152
712	0.1467691268
713	0.1466438671
714	0.1465133233
715	0.1464311768
716	0.1462057372
717	0.1460220594
718	0.1458904883
719	0.1457588246
720	0.1455570741
721	0.1454716454
722	0.1452929821
723	0.1450626547
724	0.1447182666
725	0.1446100774
726	0.1444212762
727	0.144271642
728	0.1441014801
729	0.143898823
730	0.1435336946
731	0.1433814321
732	0.1432315621
733	0.1430734179
734	0.1429170163
735	0.1426999698
736	0.1425651003
737	0.1423919673
738	0.1422147021
739	0.1420944266
740	0.141861751
741	0.1416294886
742	0.1415326313
743	0.1414469596
744	0.1412711723
745	0.1411568353
746	0.1410148308
747	0.1407252072
748	0.1404873586
749	0.1403075027
750	0.1401145976
751	0.1399694222
752	0.1398250659
753	0.1396650744
754	0.1394829549
755	0.1394417412
756	0.1392016274
757	0.1390546891
758	0.1389658867
759	0.1388533719
760	0.1386548828
761	0.1384800399
762	0.1383169374
763	0.1380720576
764	0.1379080028
765	0.1378439423
766	0.137707325
767	0.1375133508
768	0.1372656229
769	0.1371123455
770	0.1369630941
771	0.1367555505
772	0.1365465186
773	0.1364292626
774	0.1362804685
775	0.1360918359
776	0.1359405536
777	0.1358149854
778	0.1356223105
779	0.1354907767
780	0.135267288
781	0.1350832662
782	0.1349364694
783	0.1347845519
784	0.1346157695
785	0.1344438974
786	0.1342821145
787	0.1341261039
788	0.1339459658
789	0.1337802614
790	0.1336879902
791	0.1335385377
792	0.1334307108
793	0.1331840359
794	0.133057184
795	0.132815611
796	0.1327259012
797	0.1326567412
798	0.132476061
799	0.1322438679
800	0.1321676255
801	0.1320165699
802	0.131868512
803	0.1317106501
804	0.1315505424
805	0.1314151907
806	0.1313509162
807	0.1311960102
808	0.1310450053
809	0.1308488951
810	0.130766853
811	0.1306262298
812	0.1304349228
813	0.1302828714
814	0.130087903
815	0.1299506716
816	0.1297359015
817	0.1296041202
818	0.1294577406
819	0.1292755561
820	0.1291325495
821	0.1290145895
822	0.1288944193
823	0.1287492229
824	0.1286068271
825	0.1285176922
826	0.1284340483
827	0.1282323996
828	0.1280969003
829	0.1279804379
830	0.1277857068
831	0.1276193138
832	0.1274611942
833	0.127343464
834	0.1272449383
835	0.1270650631
836	0.1268705825
837	0.126606368
838	0.1265952547
839	0.1264357167
840	0.1262828635
841	0.1261177052
842	0.1259339739
843	0.1257271855
844	0.1255308728
845	0.125258932
846	0.1251642938
847	0.125016543
848	0.1248950115
849	0.1247647426
850	0.1244736072
851	0.1244398039
852	0.124258718
853	0.1241139297
854	0.124011574
855	0.1238708738
856	0.1238019641
857	0.1235840863
858	0.123458807
859	0.123323799
860	0.1232327572
861	0.123067724
862	0.1230061556
863	0.12281606
864	0.1226470956
865	0.1225223667
866	0.1223457066
867	0.1221534427
868	0.1220253784
869	0.1218353674
870	0.1217509065
871	0.1216190841
872	0.121501329
873	0.1213965918
874	0.1212919062
875	0.1211055713
876	0.1209290645
877	0.120776623
878	0.1206508719
879	0.1204797008
880	0.1203190784
881	0.1202121519
882	0.120069119
883	0.1198513846
884	0.1197083235
885	0.1195761545
886	0.1194528841
887	0.1191986614
888	0.119156737
889	0.1190613734
890	0.1189766349
891	0.1188786578
892	0.1187593317
893	0.1185781282
894	0.1184598919
895	0.1183461206
896	0.1182110293
897	0.1180510379
898	0.1179154115
899	0.1178006691
900	0.1176565735
901	0.1175630804
902	0.1174617998
903	0.1173896787
904	0.1172785925
905	0.1172736027
906	0.1171901621
907	0.1170671268
908	0.1169541865
909	0.1168795539
910	0.1167572396
911	0.1166607225
912	0.1166110581
913	0.1163471521
914	0.1162211208
915	0.116048361
916	0.1159015821
917	0.1158637509
918	0.1157496322
919	0.1156756822
920	0.1155634216
921	0.115485328
922	0.1152996837
923	0.1151344489
924	0.114987506
925	0.1149255037
926	0.114881563
927	0.1147573628
928	0.1146581589
929	0.1145424075
930	0.1142799213
931	0.1140922587
932	0.1139969329
933	0.1139127094
934	0.1137952799
935	0.1136571725
936	0.1135413378
937	0.1134801496
938	0.1133668267
939	0.1131740873
940	0.1129829706
941	0.1129463565
942	0.1128253827
943	0.1127329544
944	0.1126486372
945	0.1125567843
946	0.1124844648
947	0.1123493102
948	0.1122185037
949	0.112093417
950	0.1119709487
951	0.1118504405
952	0.1117788389
953	0.1116578633
954	0.1113820922
955	0.1113438722
956	0.1111873912
957	0.1110705234
958	0.1109708789
959	0.1108840473
960	0.1107778079
961	0.110593371
962	0.1104851693
963	0.1103884527
964	0.1102871664
965	0.1101789203
966	0.1101580955
967	0.1099966321
968	0.1098070853
969	0.10970208
970	0.1096348969
971	0.1095241088
972	0.1094388581
973	0.1092983041
974	0.109209247
975	0.1090759444
976	0.1089534585
977	0.1088071825
978	0.1087551987
979	0.1086184659
980	0.1085086833
981	0.1083405745
982	0.1082108891
983	0.1081514509
984	0.108052987
985	0.1079639607
986	0.1078436998
987	0.1077311254
988	0.107644287
989	0.1075129616
990	0.1073820902
991	0.107254841
